frame,speed,steering_angle
000000,0.05,0.0
000001,0.1,0.0
000002,0.15000000000000002,0.0
000003,0.2,0.0
000004,0.25,0.0
000005,0.3,0.0
000006,0.35,0.0
000007,0.39999999999999997,0.0
000008,0.44999999999999996,0.0
000009,0.49999999999999994,0.0
000010,0.5499999999999999,0.0
000011,0.6,0.0
000012,0.65,0.0
000013,0.7000000000000001,0.0
000014,0.7500000000000001,0.0
000015,0.8000000000000002,0.0
000016,0.8500000000000002,0.0
000017,0.9000000000000002,0.0
000018,0.9500000000000003,0.0
000019,1.0,0.0
000020,1.0,0.0
000021,1.0,-0.1
000022,1.0,-0.2
000023,1.0,-0.1
000024,1.0,0.0
000025,1.0,-0.1
000026,1.0,-0.2
000027,1.0,-0.30000000000000004
000028,1.0,-0.4
000029,1.0,-0.5
000030,1.0,-0.6
000031,1.0,-0.7
000032,1.0,-0.7999999999999999
000033,1.0,-0.8999999999999999
000034,1.0,-0.9999999999999999
000035,1.0,-1.0
000036,0.95,-1.0
000037,0.8999999999999999,-1.0
000038,0.8499999999999999,-1.0
000039,0.7999999999999998,-1.0
000040,0.7499999999999998,-1.0
000041,0.6999999999999997,-1.0
000042,0.6499999999999997,-1.0
000043,0.5999999999999996,-1.0
000044,0.5499999999999996,-1.0
000045,0.4999999999999996,-1.0
000046,0.4499999999999996,-1.0
000047,0.39999999999999963,-1.0
000048,0.34999999999999964,-1.0
000049,0.29999999999999966,-1.0
000050,0.24999999999999967,-1.0
000051,0.19999999999999968,-1.0
000052,0.1499999999999997,-1.0
000053,0.09999999999999969,-1.0
000054,0.049999999999999684,-1.0
000055,-3.191891195797325e-16,-1.0
000056,-0.05000000000000032,-1.0
000057,-0.10000000000000032,-1.0
000058,-0.15000000000000033,-1.0
000059,-0.20000000000000034,-1.0
000060,-0.25000000000000033,-1.0
000061,-0.25000000000000033,0.0
000062,-0.25000000000000033,0.0
000063,-0.25000000000000033,0.0
000064,-0.25000000000000033,0.0
000065,-0.25000000000000033,0.0
000066,-0.25000000000000033,0.0
000067,-0.25000000000000033,0.0
000068,-0.25000000000000033,0.0
000069,-0.25000000000000033,0.0
000070,-0.25000000000000033,0.0
000071,-0.25000000000000033,0.0
000072,-0.25000000000000033,0.0
000073,-0.20000000000000034,0.0
000074,-0.15000000000000036,0.0
000075,-0.15000000000000036,-0.1
000076,-0.10000000000000035,-0.1
000077,-0.05000000000000035,-0.1
000078,-3.469446951953614e-16,-0.1
000079,0.049999999999999656,-0.1
000080,0.09999999999999966,-0.1
000081,0.14999999999999966,-0.1
000082,0.19999999999999968,-0.1
000083,0.24999999999999967,-0.1
000084,0.29999999999999966,-0.1
000085,0.34999999999999964,-0.1
000086,0.39999999999999963,-0.1
000087,0.4499999999999996,-0.1
000088,0.4999999999999996,-0.1
000089,0.5499999999999996,-0.1
000090,0.5999999999999996,-0.1
000091,0.6499999999999997,-0.1
000092,0.6999999999999997,-0.1
000093,0.7499999999999998,-0.1
000094,0.7499999999999998,-0.2
000095,0.7999999999999998,-0.2
000096,0.7999999999999998,-0.1
000097,0.7999999999999998,0.0
000098,0.7999999999999998,-0.1
000099,0.7999999999999998,-0.2
000100,0.7999999999999998,-0.30000000000000004
000101,0.7999999999999998,-0.4
000102,0.7999999999999998,-0.5
000103,0.7999999999999998,-0.6
000104,0.7999999999999998,-0.7
000105,0.7999999999999998,-0.7999999999999999
000106,0.7999999999999998,-0.8999999999999999
000107,0.7999999999999998,-0.8999999999999999
